Id,Party_Id,Parent_Note_Id,Category,Sub_Category,Channel,Party_Name,Contact_Info,Type,Pin_Flag,Note,Created_Date,Created_By
740,2322589127,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Support: In-app
Acc number: 2030
Issue: Deposit money
4,000
Action: as per checking your funds has been posted last 17/Aug/2023 11:41:00, amount of php4,000.00",17-08-2023 19:55,caira.sotto@uno.bank
744,2322704041,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Support: In-app
Acc number: 7528
issue: Deposit money
Action: adv cx  If you can send us the transaction date/time, amount and reference no.  We will take a look at it for you",17-08-2023 20:25,caira.sotto@uno.bank
745,2322518698,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Deposit money
-100.00
Action: . Kindly check your account, as per checking your funds has been posted last 17/Aug/2023 11:05:51 , amount of php100.00. ",17-08-2023 20:30,caira.sotto@uno.bank
747,2322481116,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Support: In-app
Acc number: 6435
Issue: Deposit money
-2,000
Action: Informed cx funds has been reflected to his accoun",17-08-2023 20:39,caira.sotto@uno.bank
754,2322416818,NULL,GSave,Loans,In-App,,,Customer,N,"Date&Time: Aug. 18 6:47AM
Support Channel: In-App
Account no.: 6835
Issue: Loan Inq	
Action Done: 
- Send Response via In-App
- Informed the cx that currently the loan is on hold",18-08-2023 06:49,elmo.antonio@uno.bank
756,2322282544,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 18,2023
Support Channel: In-App
Account no.: 4477
Issue: Unposted deposit money yesterday amounting PHP300 form GCash to UNO
Action: Adv cx that the amount was already posted today",18-08-2023 07:02,loida.lumagbas@uno.bank
758,2322418552,NULL,GSave,Promos and Offer,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 3132
Issue: Pay and save promo inquiry
Action: Ask cx transaction date and amount for us to be able to check",18-08-2023 07:25,loida.lumagbas@uno.bank
759,2323072139,NULL,GSave,Deposit Money,In-App,,,Customer,N,"
Support Channel: In-App
Account: 7039
Issue: Unposted deposit
Transaction Amount:Php2,000.00
Transaction Date and Time: 17/Aug/2023 10:57:49
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
Informed the cx that the transaction was already posted on the account
Reference Number: 16922345689968069",18-08-2023 07:34,elmo.antonio@uno.bank
765,2322660595,NULL,Transactions,Send Money - Incorrect Account Number,Inbound Call,,,Customer,N,"Time and Date: Aug 18,2023  7:48AM
Jira Ticket: UISDV0-10162 2:12 pm 
Support Channel: Inbound Call
Account Number: 5732
Issue: customer send money to Send Money to Security Bank Corporation and she has sent to a wrong account number
Actions Done: 
- check on customer account and it was already raised to our Banking Operations 
- so advised customer that it was already raised and the process for this will be (Started August 14) 7 banking days 
- customer said that Security Bank mentioned that she needs to coordinate this to us
- upon checking, the transaction is success in brankas
- the correct account number should be 13686172",18-08-2023 08:03,witty.bautista@uno.bank
766,2322224072,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 8:02AM
Support Channel: In-App
Account: 9523
Issue: Unposted deposit
Transaction Amount: Php500.00
Transaction Date and Time: 17/Aug/2023 11:02:25
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
Informed the cx that the transaction was already posted on the account
Reference Number: 16922347596163546",18-08-2023 08:03,elmo.antonio@uno.bank
769,2323072129,NULL,GSave,Others,In-App,,,Customer,N,"Support Channel: In App
Account Number: 4204
Issue: Vague
Action Done: I asked customer what is specific concern",18-08-2023 08:07,danilo.sicat@uno.bank
770,2322418588,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 8:07AM
Support Channel: In-App
Account: 8194
Issue: Unposted deposit
Transaction Amount: Php1,000.00
Transaction Date and Time: 17/Aug/2023 11:03:08
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
Informed the cx that the transaction was already posted on the account
Reference Number: 16922346567363542
",18-08-2023 08:08,elmo.antonio@uno.bank
